accession	accession_version	strain	date	region	country	division	location	length	host	is_lab_host	date_released	date_updated	sra_accessions	authors	full_authors	institution	url	ORF2_type	ORF1_type	coverage	cdsCoverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	3CLpro_coverage	NTPase_coverage	p22_coverage	p48_coverage	RdRp_coverage	VP1_coverage	VP2_coverage	VPg_coverage	VP1_nextclade	VP1_group	VP1_type	VP1_variant	RdRp_nextclade	RdRp_group	RdRp_type	RdRp_variant
MH218734	MH218734.1	NORO_95_25_01_2015	2015-01-25	Europe	United Kingdom			7536	Homo sapiens		2018-06-11	2018-06-11		Brown et al.	"Brown,J.R.,Roy,S.,Shah,D.,Williams,C.A.,Williams,R.,Dunn,H.,Hartley,J.,Harris,K.,Breuer,J."	"University College London, Division of Infection and Immunity"	https://www.ncbi.nlm.nih.gov/nuccore/MH218734	GII.2	GII.P2	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9648798521256932,VP2:0.969811320754717,VPg:1,p22:1,p48:1"	0	1972	0						"VP1:293-306,VP1:338-340,VP2:139-146"	1	1	1	1	1	0.9648798521256932	0.969811321	1	GII.2	GII	GII.2		GII.P2	GII	GII.P2	
MH218737	MH218737.1	NORO_98_16_06_2015	2015-06-16	Europe	United Kingdom			7537	Homo sapiens		2018-06-11	2018-06-11		Brown et al.	"Brown,J.R.,Roy,S.,Shah,D.,Williams,C.A.,Williams,R.,Dunn,H.,Hartley,J.,Harris,K.,Breuer,J."	"University College London, Division of Infection and Immunity"	https://www.ncbi.nlm.nih.gov/nuccore/MH218737	GII.2	GII.P2	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9926062846580407,VP2:0.9584905660377359,VPg:1,p22:1,p48:1"	0	1951	0						"VP1:338-341,VP2:128-138"	1	1	1	1	1	0.9926062846580407	0.9584905660377359	1	GII.2	GII	GII.2		GII.P2	GII	GII.P2	
MH671553	MH671553.1	BJFTJYX	2016-12-XX	Asia	China	Beijing		7536	Homo sapiens		2019-08-20	2019-08-20		Ao et al.	"Ao,Y."	"Institute for Viral Disease Control and Prevention of China CDC, Viral Diarrhea"	https://www.ncbi.nlm.nih.gov/nuccore/MH671553	GII.2	GII.P2	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9648798521256932,VP2:0.9584905660377359,VPg:1,p22:1,p48:1"	0	1959	0						"VP1:293-306,VP1:338-340,VP2:139-146"	1	1	1	1	1	0.9648798521256932	0.9584905660377359	1	GII.2	GII	GII.2		GII.P2	GII	GII.P2	
MH702261	MH702261.1	MH702261	2014-02-04	Asia	Nepal			6753	Homo sapiens		2019-01-01	2019-01-01		Pham et al.	"Pham,A.H.,Pham,T.T.T.,Swierczewski,B.E.,Ladaporn,B.,Baker,S."	"Oxford University Clinical Research Unit, Enterics"	https://www.ncbi.nlm.nih.gov/nuccore/MH702261	GII.2	GII.P2	0.930124017	"3CLpro:1,NTPase:1,ORF1:0.9052941176470588,RdRp:0.9980392156862745,VP1:0.9648798521256932,VP2:0.6641509433962264,VPg:1,p22:1,p48:0.5180722891566265"	0	1771	1						"VP1:293-306,VP1:338-340,VP2:148-158,VP2:202-265"	1	1	1	0.5180722891566265	0.9980392156862745	0.9648798521256932	0.6641509433962264	1	GII.2	GII	GII.2		GII.P2	GII	GII.P2	
MK614130	MK614130.1	SZ2018028	2018-02-XX	Asia	China			7536	Homo sapiens		2019-04-28	2019-04-28		Wang et al.	"Wang,J.,Jin,M.,Zhang,H.,Zhu,Y.,Yang,H.,Yao,X.,Chen,L.,Meng,J.,Han,M.,Guan,X.,Hu,G.,He,Y.,Duan,Z."	"Southern Medical University, Department of Epidemiology, School of Public Health"	https://www.ncbi.nlm.nih.gov/nuccore/MK614130	GII.2	GII.P16	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:1,VP2:0.9433962264150944,VPg:1,p22:1,p48:1"	0	955	0						VP2:139-150	1	1	1	1	1	1	0.9433962264150944	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
MK614136	MK614136.1	SZ2018122	2018-04-XX	Asia	China			7536	Homo sapiens		2019-04-28	2019-04-28		Wang et al.	"Wang,J.,Jin,M.,Zhang,H.,Zhu,Y.,Yang,H.,Yao,X.,Chen,L.,Meng,J.,Han,M.,Guan,X.,Hu,G.,He,Y.,Duan,Z."	"Southern Medical University, Department of Epidemiology, School of Public Health"	https://www.ncbi.nlm.nih.gov/nuccore/MK614136	GII.2	GII.P16	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9722735674676525,VP2:0.969811320754717,VPg:1,p22:1,p48:1"	0	944	0						"VP1:293-306,VP2:139-146"	1	1	1	1	1	0.9722735674676525	0.969811321	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
MK729086	MK729086.1	Hu/Guangzhou/GZ2015-L335/CHN/2015	2015-01-20	Asia	China			7496	Homo sapiens		2019-04-08	2019-04-08		Xue et al.	"Xue,L.,Gao,J.,Cai,W.,Zhang,L.,Zuo,Y.,Zhang,J.,Wu,Q."	"Guangdong Institute of Microbiology, State Key Laboratory of Applied Microbiology Southern China"	https://www.ncbi.nlm.nih.gov/nuccore/MK729086	GII.2	GII.P2	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9648798521256932,VP2:0.9320754716981132,VPg:1,p22:1,p48:1"	0	1973	0						"VP1:297-310,VP1:338-340,VP2:139-146,VP2:186-191"	1	1	1	1	1	0.9648798521256932	0.9320754716981132	1	GII.2	GII	GII.2		GII.P2	GII	GII.P2	
MK753031	MK753031.1	Hu/US/2016/GII.P2-GII.2/Yolo0348	2016-08-16	North America	USA			7239	Homo sapiens		2019-04-11	2019-04-11		Barclay et al.	"Barclay,L.,Cannon,J.L.,Wikswo,M.E.,Phillips,A.,Browne,H.,Montmayeur,A.M.,Tatusov,R.L.,Burke,R.M.,Hall,A.J.,Vinje,J.,Pan,C.-Y.,Chhabra,P."	"Centers for Disease Control and Prevention, Division of Viral Diseases"	https://www.ncbi.nlm.nih.gov/nuccore/MK753031	GII.2	GII.P2	0.9673289771969596	"3CLpro:1,NTPase:1,ORF1:0.9547058823529412,RdRp:1,VP1:0.9648798521256932,VP2:0.9283018867924528,VPg:1,p22:1,p48:0.7680722891566265"	0	1913	0						"VP1:293-306,VP1:338-340,VP2:134-147"	1	1	1	0.7680722891566265	1	0.9648798521256932	0.9283018867924528	1	GII.2	GII	GII.2		GII.P2	GII	GII.P2	
MK762628	MK762628.1	Hu/US/2018/GII.P2-GII.2/Ada0178	2018-03-06	North America	USA			7482	Homo sapiens		2019-04-13	2019-04-13		Barclay et al.	"Barclay,L.,Cannon,J.L.,Wikswo,M.E.,Phillips,A.,Browne,H.,Montmayeur,A.M.,Tatusov,R.L.,Burke,R.M.,Hall,A.J.,Vinje,J.,Getz,K.,Chhabra,P."	"Centers for Disease Control and Prevention, Division of Viral Diseases"	https://www.ncbi.nlm.nih.gov/nuccore/MK762628	GII.2	GII.P2	0.9997332977730364	"3CLpro:1,NTPase:1,ORF1:0.9994117647058823,RdRp:1,VP1:0.9722735674676525,VP2:0.9433962264150944,VPg:1,p22:1,p48:0.9969879518072289"	0	1974	0						"VP1:293-306,VP2:134-147"	1	1	1	0.9969879518072289	1	0.9722735674676525	0.9433962264150944	1	GII.2	GII	GII.2		GII.P2	GII	GII.P2	
MK764040	MK764040.1	Hu/US/2016/GII.P2-GII.2/Cambria0299	2016-02-24	North America	USA			7529	Homo sapiens		2019-04-13	2019-04-13		Barclay et al.	"Barclay,L.,Cannon,J.L.,Wikswo,M.E.,Phillips,A.,Browne,H.,Montmayeur,A.M.,Tatusov,R.L.,Burke,R.M.,Hall,A.J.,Vinje,J.,Bryant,P.,Chhabra,P."	"Centers for Disease Control and Prevention, Division of Viral Diseases"	https://www.ncbi.nlm.nih.gov/nuccore/MK764040	GII.2	GII.P2	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9852125693160814,VP2:0.9735849056603774,VPg:1,p22:1,p48:1"	0	1995	0						"VP1:293-294,VP1:338-340,VP2:140-146"	1	1	1	1	1	0.9852125693160814	0.9735849056603774	1	GII.2	GII	GII.2		GII.P2	GII	GII.P2	
MK773583	MK773583.1	Hu/US/2016/GII.P16-GII.2/Mecklenburg0363	2016-12-01	North America	USA			7480	Homo sapiens		2019-04-14	2019-04-14		Barclay et al.	"Barclay,L.,Cannon,J.L.,Wikswo,M.E.,Phillips,A.,Browne,H.,Montmayeur,A.M.,Tatusov,R.L.,Burke,R.M.,Hall,A.J.,Vinje,J.,Rath,S.,Chhabra,P."	"Centers for Disease Control and Prevention, Division of Viral Diseases"	https://www.ncbi.nlm.nih.gov/nuccore/MK773583	GII.2	GII.P16	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9648798521256932,VP2:0.8830188679245283,VPg:1,p22:1,p48:1"	0	928	0						"VP1:293-306,VP1:338-340,VP2:139-155"	1	1	1	1	1	0.9648798521256932	0.8830188679245283	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
MK775028	MK775028.1	Hu/US/2014/GII.P2-GII.2/Summit0246	2014-04-20	North America	USA			7239	Homo sapiens		2019-04-15	2019-04-15		Barclay et al.	"Barclay,L.,Cannon,J.L.,Wikswo,M.E.,Phillips,A.,Browne,H.,Montmayeur,A.M.,Tatusov,R.L.,Burke,R.M.,Hall,A.J.,Vinje,J.,Brandt,E.,Chhabra,P."	"Centers for Disease Control and Prevention, Division of Viral Diseases"	https://www.ncbi.nlm.nih.gov/nuccore/MK775028	GII.2	GII.P2	0.9685291372182958	"3CLpro:1,NTPase:1,ORF1:0.9582352941176471,RdRp:1,VP1:0.9852125693160814,VP2:0.8377358490566038,VPg:1,p22:1,p48:0.786144578313253"	0	1945	0						"VP1:293-294,VP1:338-340,VP2:139-155,VP2:182-191"	1	1	1	0.786144578	1	0.9852125693160814	0.8377358490566038	1	GII.2	GII	GII.2		GII.P2	GII	GII.P2	
LC145792	LC145792.1	LC145792	2012-XX-XX	Asia	Japan	Saitama		7482	Homo sapiens		2016-07-02	2018-01-12		Motomura et al.	"Motomura,K.,Boonchan,M.,Noda,M.,Tanaka,T.,Takeda,N."	"Research Institute of Microbial Diseases; 3-1, Yamada-oka, Suita, Osaka 565-0871"	https://www.ncbi.nlm.nih.gov/nuccore/LC145792	GII.2	GII.P16	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9685767097966729,VP2:0.9773584905660377,VPg:1,p22:1,p48:1"	0	1383	0						"VP1:293-301,VP1:338-340,VP2:142-144"	1	1	1	1	1	0.9685767097966729	0.9773584905660377	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
LC145796	LC145796.1	LC145796	2012-XX-XX	Asia	Japan	Ehime		7482	Homo sapiens		2016-07-02	2018-01-12		Motomura et al.	"Motomura,K.,Boonchan,M.,Noda,M.,Tanaka,T.,Takeda,N."	"Research Institute of Microbial Diseases; 3-1, Yamada-oka, Suita, Osaka 565-0871"	https://www.ncbi.nlm.nih.gov/nuccore/LC145796	GII.2	GII.P16	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.988909426987061,VP2:0.9207547169811321,VPg:1,p22:1,p48:1"	0	1404	0						"VP1:338-340,VP2:139-141,VP2:172-180"	1	1	1	1	1	0.988909427	0.9207547169811321	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
LC145803	LC145803.1	LC145803	2014-XX-XX	Asia	Japan	Osaka		7482	Homo sapiens		2016-07-02	2018-01-12		Motomura et al.	"Motomura,K.,Boonchan,M.,Noda,M.,Tanaka,T.,Takeda,N."	"Research Institute of Microbial Diseases; 3-1, Yamada-oka, Suita, Osaka 565-0871"	https://www.ncbi.nlm.nih.gov/nuccore/LC145803	GII.2	GII.P16	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9685767097966729,VP2:0.9018867924528302,VPg:1,p22:1,p48:1"	0	1386	0						"VP1:293-301,VP1:338-340,VP2:139-146,VP2:172-180"	1	1	1	1	1	0.9685767097966729	0.9018867924528302	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
LC145808	LC145808.1	LC145808	2014-XX-XX	Asia	Japan	Ehime		7482	Homo sapiens		2016-07-02	2018-01-12		Motomura et al.	"Motomura,K.,Boonchan,M.,Noda,M.,Tanaka,T.,Takeda,N."	"Research Institute of Microbial Diseases; 3-1, Yamada-oka, Suita, Osaka 565-0871"	https://www.ncbi.nlm.nih.gov/nuccore/LC145808	GII.2	GII.P16	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9685767097966729,VP2:1,VPg:1,p22:1,p48:1"	0	1375	0						"VP1:293-301,VP1:338-342"	1	1	1	1	1	0.9685767097966729	1	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
LC209432	LC209432.1	LC209432	2012-XX-XX	Asia	Japan	Tochigi		7515	Homo sapiens		2017-12-14	2017-12-14		Mizukoshi et al.	"Mizukoshi,F.,Nagasawa,K.,Doan,Y.H.,Haga,K.,Yoshizumi,S.,Ueki,Y.,Shinohara,M.,Ishikawa,M.,Sakon,N.,Shigemoto,N.,Okamoto-Nakagawa,R.,Ochi,A.,Murakami,K.,Ryo,A.,Suzuki,Y.,Katayama,K.,Kimura,H.,Matsushima,Y."	"Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821"	https://www.ncbi.nlm.nih.gov/nuccore/LC209432	GII.2	GII.P16	0.9985331377517004	"3CLpro:1,NTPase:1,ORF1:0.9976470588235294,RdRp:1,VP1:0.9685767097966729,VP2:0.9433962264150944,VPg:1,p22:1,p48:0.9879518072289156"	0	1389	0						"VP1:293-301,VP1:338-340,VP2:133-147"	1	1	1	0.9879518072289156	1	0.9685767097966729	0.9433962264150944	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
LC209434	LC209434.1	LC209434	2014-XX-XX	Asia	Japan	Tochigi		7515	Homo sapiens		2017-12-14	2017-12-14		Mizukoshi et al.	"Mizukoshi,F.,Nagasawa,K.,Doan,Y.H.,Haga,K.,Yoshizumi,S.,Ueki,Y.,Shinohara,M.,Ishikawa,M.,Sakon,N.,Shigemoto,N.,Okamoto-Nakagawa,R.,Ochi,A.,Murakami,K.,Ryo,A.,Suzuki,Y.,Katayama,K.,Kimura,H.,Matsushima,Y."	"Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821"	https://www.ncbi.nlm.nih.gov/nuccore/LC209434	GII.2	GII.P16	0.9985331377517004	"3CLpro:1,NTPase:1,ORF1:0.9976470588235294,RdRp:1,VP1:0.9796672828096118,VP2:0.9207547169811321,VPg:1,p22:1,p48:0.9879518072289156"	0	1378	0						"VP1:293-301,VP2:134-147"	1	1	1	0.9879518072289156	1	0.9796672828096118	0.9207547169811321	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
LC209435	LC209435.1	LC209435	2004-XX-XX	Asia	Japan	Tochigi		7530	Homo sapiens		2017-12-14	2017-12-14		Mizukoshi et al.	"Mizukoshi,F.,Nagasawa,K.,Doan,Y.H.,Haga,K.,Yoshizumi,S.,Ueki,Y.,Shinohara,M.,Ishikawa,M.,Sakon,N.,Shigemoto,N.,Okamoto-Nakagawa,R.,Ochi,A.,Murakami,K.,Ryo,A.,Suzuki,Y.,Katayama,K.,Kimura,H.,Matsushima,Y."	"Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821"	https://www.ncbi.nlm.nih.gov/nuccore/LC209435	GII.2	GII.P12	0.9998666488865182	"3CLpro:1,NTPase:1,ORF1:0.9994117647058823,RdRp:1,VP1:0.9815157116451017,VP2:0.8679245283018868,VPg:1,p22:1,p48:0.9969879518072289"	0	1983	0						"VP1:294-301,VP2:136-150,VP2:172-191"	1	1	1	0.9969879518072289	1	0.9815157116451017	0.8679245283018868	1	GII.2	GII	GII.2		GII.P12	GII	GII.P12	
LC209436	LC209436.1	LC209436	2004-XX-XX	Asia	Japan	Tochigi		7526	Homo sapiens		2017-12-14	2017-12-14		Mizukoshi et al.	"Mizukoshi,F.,Nagasawa,K.,Doan,Y.H.,Haga,K.,Yoshizumi,S.,Ueki,Y.,Shinohara,M.,Ishikawa,M.,Sakon,N.,Shigemoto,N.,Okamoto-Nakagawa,R.,Ochi,A.,Murakami,K.,Ryo,A.,Suzuki,Y.,Katayama,K.,Kimura,H.,Matsushima,Y."	"Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821"	https://www.ncbi.nlm.nih.gov/nuccore/LC209436	GII.2	GII.P2	0.9991998933191092	"3CLpro:1,NTPase:1,ORF1:0.9988235294117647,RdRp:1,VP1:0.9648798521256932,VP2:0.8943396226415095,VPg:1,p22:1,p48:0.9939759036144579"	0	1962	0						"VP1:293-306,VP1:338-340,VP2:139-146,VP2:172-191"	1	1	1	0.9939759036144579	1	0.9648798521256932	0.8943396226415095	1	GII.2	GII	GII.2		GII.P2	GII	GII.P2	
LC209437	LC209437.1	LC209437	2004-XX-XX	Asia	Japan	Tochigi		7519	Homo sapiens		2017-12-14	2017-12-14		Mizukoshi et al.	"Mizukoshi,F.,Nagasawa,K.,Doan,Y.H.,Haga,K.,Yoshizumi,S.,Ueki,Y.,Shinohara,M.,Ishikawa,M.,Sakon,N.,Shigemoto,N.,Okamoto-Nakagawa,R.,Ochi,A.,Murakami,K.,Ryo,A.,Suzuki,Y.,Katayama,K.,Kimura,H.,Matsushima,Y."	"Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821"	https://www.ncbi.nlm.nih.gov/nuccore/LC209437	GII.2	GII.P2	0.9991998933191092	"3CLpro:1,NTPase:1,ORF1:0.9988235294117647,RdRp:1,VP1:0.9648798521256932,VP2:0.8943396226415095,VPg:1,p22:1,p48:0.9939759036144579"	0	1960	0						"VP1:293-306,VP1:338-340,VP2:139-146,VP2:172-191"	1	1	1	0.9939759036144579	1	0.9648798521256932	0.8943396226415095	1	GII.2	GII	GII.2		GII.P2	GII	GII.P2	
LC209439	LC209439.1	LC209439	2014-XX-XX	Asia	Japan	Saitama		7536	Homo sapiens		2017-12-14	2017-12-14		Mizukoshi et al.	"Mizukoshi,F.,Nagasawa,K.,Doan,Y.H.,Haga,K.,Yoshizumi,S.,Ueki,Y.,Shinohara,M.,Ishikawa,M.,Sakon,N.,Shigemoto,N.,Okamoto-Nakagawa,R.,Ochi,A.,Murakami,K.,Ryo,A.,Suzuki,Y.,Katayama,K.,Kimura,H.,Matsushima,Y."	"Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821"	https://www.ncbi.nlm.nih.gov/nuccore/LC209439	GII.2	GII.P31 (GII.Pe)	1	"3CLpro:1,NTPase:1,ORF1:0.9976470588235294,RdRp:1,VP1:1,VP2:0.909433962264151,VPg:1,p22:0.9774011299435028,p48:1"	0	1943	0						"ORF1:858-860,p22:160-162,VP2:139-149,VP2:186-191"	1	1	0.9774011299435028	1	1	1	0.909433962	1	GII.2	GII	GII.2		GII.P31 (GII.Pe)	GII	GII.P31	
LC209449	LC209449.1	LC209449	2011-XX-XX	Asia	Japan	Osaka		7533	Homo sapiens		2017-12-14	2017-12-14		Mizukoshi et al.	"Mizukoshi,F.,Nagasawa,K.,Doan,Y.H.,Haga,K.,Yoshizumi,S.,Ueki,Y.,Shinohara,M.,Ishikawa,M.,Sakon,N.,Shigemoto,N.,Okamoto-Nakagawa,R.,Ochi,A.,Murakami,K.,Ryo,A.,Suzuki,Y.,Katayama,K.,Kimura,H.,Matsushima,Y."	"Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821"	https://www.ncbi.nlm.nih.gov/nuccore/LC209449	GII.2	GII.P16	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9722735674676525,VP2:0.9358490566037736,VPg:1,p22:1,p48:1"	0	1089	0						"VP1:293-306,VP2:133-149"	1	1	1	1	1	0.9722735674676525	0.9358490566037736	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
LC209452	LC209452.1	LC209452	2011-XX-XX	Asia	Japan	Osaka		7521	Homo sapiens		2017-12-14	2017-12-14		Mizukoshi et al.	"Mizukoshi,F.,Nagasawa,K.,Doan,Y.H.,Haga,K.,Yoshizumi,S.,Ueki,Y.,Shinohara,M.,Ishikawa,M.,Sakon,N.,Shigemoto,N.,Okamoto-Nakagawa,R.,Ochi,A.,Murakami,K.,Ryo,A.,Suzuki,Y.,Katayama,K.,Kimura,H.,Matsushima,Y."	"Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821"	https://www.ncbi.nlm.nih.gov/nuccore/LC209452	GII.2	GII.P16	0.9989331910921456	"3CLpro:1,NTPase:1,ORF1:0.9982352941176471,RdRp:1,VP1:0.9722735674676525,VP2:0.8716981132075472,VPg:1,p22:1,p48:0.9909638554216867"	0	1056	0						"VP1:293-306,VP2:135-158,VP2:186-190"	1	1	1	0.9909638554216867	1	0.9722735674676525	0.8716981132075472	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
LC209454	LC209454.1	LC209454	2010-XX-XX	Asia	Japan	Osaka		7520	Homo sapiens		2017-12-14	2017-12-14		Mizukoshi et al.	"Mizukoshi,F.,Nagasawa,K.,Doan,Y.H.,Haga,K.,Yoshizumi,S.,Ueki,Y.,Shinohara,M.,Ishikawa,M.,Sakon,N.,Shigemoto,N.,Okamoto-Nakagawa,R.,Ochi,A.,Murakami,K.,Ryo,A.,Suzuki,Y.,Katayama,K.,Kimura,H.,Matsushima,Y."	"Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821"	https://www.ncbi.nlm.nih.gov/nuccore/LC209454	GII.2	GII.P16	0.9991998933191092	"3CLpro:1,NTPase:1,ORF1:0.9988235294117647,RdRp:1,VP1:0.9685767097966729,VP2:0.8301886792452831,VPg:1,p22:1,p48:0.9939759036144579"	0	1377	0						"VP1:293-301,VP1:338-340,VP2:139-152,VP2:172-180"	1	1	1	0.9939759036144579	1	0.9685767097966729	0.8301886792452831	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
LC209456	LC209456.1	LC209456	2013-XX-XX	Asia	Japan	Miyagi		7531	Homo sapiens		2017-12-14	2017-12-14		Mizukoshi et al.	"Mizukoshi,F.,Nagasawa,K.,Doan,Y.H.,Haga,K.,Yoshizumi,S.,Ueki,Y.,Shinohara,M.,Ishikawa,M.,Sakon,N.,Shigemoto,N.,Okamoto-Nakagawa,R.,Ochi,A.,Murakami,K.,Ryo,A.,Suzuki,Y.,Katayama,K.,Kimura,H.,Matsushima,Y."	"Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821"	https://www.ncbi.nlm.nih.gov/nuccore/LC209456	GII.2	GII.P16	0.9985331377517004	"3CLpro:1,NTPase:1,ORF1:0.9976470588235294,RdRp:1,VP1:0.988909426987061,VP2:1,VPg:1,p22:1,p48:0.9879518072289156"	0	1395	0						VP1:338-340	1	1	1	0.9879518072289156	1	0.988909427	1	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
LC209459	LC209459.1	LC209459	2010-XX-XX	Asia	Japan	Kanagawa		7524	Homo sapiens		2017-12-14	2017-12-14		Mizukoshi et al.	"Mizukoshi,F.,Nagasawa,K.,Doan,Y.H.,Haga,K.,Yoshizumi,S.,Ueki,Y.,Shinohara,M.,Ishikawa,M.,Sakon,N.,Shigemoto,N.,Okamoto-Nakagawa,R.,Ochi,A.,Murakami,K.,Ryo,A.,Suzuki,Y.,Katayama,K.,Kimura,H.,Matsushima,Y."	"Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821"	https://www.ncbi.nlm.nih.gov/nuccore/LC209459	GII.2	GII.P16	0.999333244	"3CLpro:1,NTPase:1,ORF1:0.9988235294117647,RdRp:1,VP1:0.9722735674676525,VP2:0.9358490566037736,VPg:1,p22:1,p48:0.9939759036144579"	0	1085	0						"VP1:293-306,VP2:133-149"	1	1	1	0.9939759036144579	1	0.9722735674676525	0.9358490566037736	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
LC209461	LC209461.1	LC209461	2009-XX-XX	Asia	Japan	Kanagawa		7520	Homo sapiens		2017-12-14	2017-12-14		Mizukoshi et al.	"Mizukoshi,F.,Nagasawa,K.,Doan,Y.H.,Haga,K.,Yoshizumi,S.,Ueki,Y.,Shinohara,M.,Ishikawa,M.,Sakon,N.,Shigemoto,N.,Okamoto-Nakagawa,R.,Ochi,A.,Murakami,K.,Ryo,A.,Suzuki,Y.,Katayama,K.,Kimura,H.,Matsushima,Y."	"Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821"	https://www.ncbi.nlm.nih.gov/nuccore/LC209461	GII.2	GII.P16	0.9991998933191092	"3CLpro:1,NTPase:1,ORF1:0.9988235294117647,RdRp:1,VP1:0.9685767097966729,VP2:0.8301886792452831,VPg:1,p22:1,p48:0.9939759036144579"	0	1377	0						"VP1:293-301,VP1:338-340,VP2:139-152,VP2:172-180"	1	1	1	0.9939759036144579	1	0.9685767097966729	0.8301886792452831	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
LC209462	LC209462.1	LC209462	2006-XX-XX	Asia	Japan	Hokkaido		7520	Homo sapiens		2017-12-14	2017-12-14		Mizukoshi et al.	"Mizukoshi,F.,Nagasawa,K.,Doan,Y.H.,Haga,K.,Yoshizumi,S.,Ueki,Y.,Shinohara,M.,Ishikawa,M.,Sakon,N.,Shigemoto,N.,Okamoto-Nakagawa,R.,Ochi,A.,Murakami,K.,Ryo,A.,Suzuki,Y.,Katayama,K.,Kimura,H.,Matsushima,Y."	"Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821"	https://www.ncbi.nlm.nih.gov/nuccore/LC209462	GII.2	GII.P2	0.998666489	"3CLpro:1,NTPase:1,ORF1:0.9976470588235294,RdRp:1,VP1:0.9926062846580407,VP2:0.8528301886792453,VPg:1,p22:1,p48:0.9879518072289156"	0	2000	0						"VP1:338-340,VP2:139-155,VP2:172-190"	1	1	1	0.9879518072289156	1	0.9926062846580407	0.8528301886792453	1	GII.2	GII	GII.2		GII.P2	GII	GII.P2	
LC209463	LC209463.1	LC209463	2008-XX-XX	Asia	Japan	Hokkaido		7536	Homo sapiens		2017-12-14	2017-12-14		Mizukoshi et al.	"Mizukoshi,F.,Nagasawa,K.,Doan,Y.H.,Haga,K.,Yoshizumi,S.,Ueki,Y.,Shinohara,M.,Ishikawa,M.,Sakon,N.,Shigemoto,N.,Okamoto-Nakagawa,R.,Ochi,A.,Murakami,K.,Ryo,A.,Suzuki,Y.,Katayama,K.,Kimura,H.,Matsushima,Y."	"Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821"	https://www.ncbi.nlm.nih.gov/nuccore/LC209463	GII.2	GII.P2	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9852125693160814,VP2:0.969811320754717,VPg:1,p22:1,p48:1"	0	1989	0						"VP1:293-294,VP1:338-340,VP2:139-146"	1	1	1	1	1	0.9852125693160814	0.969811321	1	GII.2	GII	GII.2		GII.P2	GII	GII.P2	
